Sentence,Annotation
I was in the Denali.,O O O O B-MNTN
"Mount Everest in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",B-MNTN I-MNTN O O O O O O O O O O O O O O O O O O O O O O
I would rather go to the Mount Elbert than to the beach.,O O O O O O B-MNTN I-MNTN O O O O
"Which do you like better, the sea or the Mont Blanc?",O O O O O O O O O B-MNTN I-MNTN
Some people like the sea; others prefer the Denali.,O O O O O O O O B-MNTN
We watched the sun setting behind the Drakensberg.,O O O O O O O B-MNTN
The Mount Kilimanjaro are a lush green in summer.,O B-MNTN I-MNTN O O O O O O
I was roaming over the Grossglockner all through the night.,O O O O O B-MNTN O O O O
The Mount Everest in the Himalayas are higher than those in the Andes.,O B-MNTN I-MNTN O O O O O O O O O O
It was so nice a day that we went for a hike in the Mount Rainier.,O O O O O O O O O O O O O O B-MNTN I-MNTN
The girl is getting over Nanga Parbat of difficulties.,O O O O O B-MNTN I-MNTN O O
The path twists through the Mount Everest.,O O O O O B-MNTN I-MNTN
The Mount Rainier look nicer from a distance.,O B-MNTN I-MNTN O O O O O
The two Chimborazo are of equal height.,O O B-MNTN O O O O
The Mount Fuji in this part of the country are full of variety.,O B-MNTN I-MNTN O O O O O O O O O O
This river rises in the Mount Elbert in Nagano.,O O O O O B-MNTN I-MNTN O O
It's very pleasant here in the Aconcagua.,O O O O O O B-MNTN
This dog is trained to save people in the Mount Everest.,O O O O O O O O O B-MNTN I-MNTN
The moon is coming up over the Simien Mountains.,O O O O O O O B-MNTN I-MNTN
"For a person who is in good physical condition, climbing Matterhorn is a cinch.",O O O O O O O O O O B-MNTN O O O
We could see the reflection of the Mont Blanc in the lake.,O O O O O O O B-MNTN I-MNTN O O O
A vast forest covers the Matterhorn.,O O O O O B-MNTN
The air is rare on high Mount Kilimanjaro.,O O O O O O B-MNTN I-MNTN
Nearly 80 percent of the land is Denali.,O O O O O O O B-MNTN
Why don't we go to the Ben Nevis this weekend?,O O O O O O B-MNTN I-MNTN O O
Those Mount Logan over there have turned white this morning.,O B-MNTN I-MNTN O O O O O O O
The Drakensberg are reflected in the lake.,O B-MNTN O O O O O
You cannot be careful in the Mount Fuji.,O O O O O O B-MNTN I-MNTN
I anticipated a quiet vacation in the Mount Elbrus.,O O O O O O O B-MNTN I-MNTN
"We're going up into the Mount Fuji, so why don't you come with us?",O O O O O B-MNTN I-MNTN O O O O O O O
The sun descended behind the Chimborazo.,O O O O O B-MNTN
It is warmer over the Ben Nevis.,O O O O O B-MNTN I-MNTN
The air is very pure in the Mount Rainier.,O O O O O O O B-MNTN I-MNTN
In the Mount Kilimanjaro it is not until the end of April that the snow disappears completely from the ground.,O O B-MNTN I-MNTN O O O O O O O O O O O O O O O O
K2 look better viewed from a distance.,B-MNTN O O O O O O
The Mount Saint Elias lay covered with deep snow.,O B-MNTN I-MNTN I-MNTN O O O O O
Mount Kilimanjaro are not necessarily green.,B-MNTN I-MNTN O O O O
The Mount Elbrus are red against the blue sky.,O B-MNTN I-MNTN O O O O O O
My brother loves taking pictures of Annapurna.,O O O O O O B-MNTN
My town is surrounded by tall Ben Nevis.,O O O O O O B-MNTN I-MNTN
I am thinking of going to the Ben Nevis.,O O O O O O O B-MNTN I-MNTN
I went to Nagano to take pictures of the Mount Rainier covered with snow.,O O O O O O O O O B-MNTN I-MNTN O O O
At one time I lived alone in the Mount Logan.,O O O O O O O O B-MNTN I-MNTN
I like Mount Kenya better than seas.,O O B-MNTN I-MNTN O O O
I climb Mount Kilimanjaro because they are there.,O O B-MNTN I-MNTN O O O O
I like to walk in the Chimborazo.,O O O O O O B-MNTN
I like climbing Mount Fuji.,O O O B-MNTN I-MNTN
I saw a chain of Mount Elbert.,O O O O O B-MNTN I-MNTN
I am going to write about our parks and Annapurna.,O O O O O O O O O B-MNTN
I would go to the Mount Logan when young.,O O O O O B-MNTN I-MNTN O O
I know better than to climb Simien Mountains in winter without making all necessary preparations beforehand.,O O O O O O B-MNTN I-MNTN O O O O O O O O
I don't like my brother climbing the Mount Elbert.,O O O O O O O B-MNTN I-MNTN
We went to the Matterhorn to ski.,O O O O B-MNTN O O
Everything in the fields and Mount Elbert looks fresh when spring comes.,O O O O O B-MNTN I-MNTN O O O O O
Faith can move Matterhorn.,O O O B-MNTN
They have climbed the highest Mount Logan and walked on the floor of the seas.,O O O O O B-MNTN I-MNTN O O O O O O O O
Look at the Mount Rainier covered with snow.,O O O B-MNTN I-MNTN O O O
Some snow-covered Simien Mountains were seen in the distance.,O O B-MNTN I-MNTN O O O O O
The river descends from the Mount Rainier to the bay below.,O O O O O B-MNTN I-MNTN O O O O
You'll see a lot of high Kangchenjunga through the window.,O O O O O O B-MNTN O O O
The Chimborazo have brought forth a mouse.,O B-MNTN O O O O O
The black and white bears living in the Mont Blanc of China and Tibet are called pandas.,O O O O O O O O B-MNTN I-MNTN O O O O O O O
"With winter coming on, the Mont Blanc will soon be covered with snow.",O O O O O B-MNTN I-MNTN O O O O O O
You had better not climb such high Drakensberg in winter.,O O O O O O O B-MNTN O O
Run and hide in the Mount Fuji.,O O O O O B-MNTN I-MNTN
Japan has a lot of beautiful Drakensberg.,O O O O O O B-MNTN
His airplane crashed in the Grossglockner.,O O O O O B-MNTN
He makes Mount Elbrus out of molehills.,O O B-MNTN I-MNTN O O O
He likes mountaineering and is at home with Japanese Mount Elbert.,O O O O O O O O O B-MNTN I-MNTN
He's accustomed to climbing Nanga Parbat.,O O O O B-MNTN I-MNTN
He led his men and horses over snowy Mount Kilimanjaro and down into hot valleys.,O O O O O O O O B-MNTN I-MNTN O O O O O
They went to a resort in the Denali last summer.,O O O O O O O B-MNTN O O
They couldn't decide whether to go to the Chimborazo or the sea.,O O O O O O O O B-MNTN O O O
Flat land has no Mount Kenya or hills.,O O O O B-MNTN I-MNTN O O
There are colossal Huascarán in the north.,O O O B-MNTN O O O
"Playing baseball is a sport, and climbing Mount Elbrus is a sport, too.",O O O O O O O B-MNTN I-MNTN O O O O
The suspect was hiding out in the Huascarán for three weeks.,O O O O O O O B-MNTN O O O
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Nanga Parbat in the east.",O O O O O O O O O O O O O O O O O O B-MNTN I-MNTN O O O
Tadami is in Minamiaizu in Fukushima; cut off by steep Mount Fuji and located on the prefecture border with Niigata.,O O O O O O O O O O B-MNTN I-MNTN O O O O O O O O
"When warm, light, air crosses Mount Kenya it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",O O O O O B-MNTN I-MNTN O O O O O O O O O O O O O O O O O O O O O O O O
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Denali of Afghanistan to risk their lives for us.",O O O O O O O O O O O O O O O O O O O O O B-MNTN O O O O O O O O
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Mount Fuji of Afghanistan, to risk their lives for us.",O O O O O O O O O O O O O O O O O O O O O B-MNTN I-MNTN O O O O O O O O
"When violent extremists operate in one stretch of Chimborazo, people are endangered across an ocean.",O O O O O O O O B-MNTN O O O O O O
All the villagers went into the Denali to look for a missing cat.,O O O O O O B-MNTN O O O O O O
Let's go for a walk to the Grossglockner.,O O O O O O O B-MNTN
"There is definitely a way to quit the world and live like an hermit in the Annapurna, being self-sufficient and without contact with anybody while not dying like a dog.",O O O O O O O O O O O O O O O O B-MNTN O O O O O O O O O O O O O
The salts and minerals found in these Drakensberg are quite diverse.,O O O O O O O B-MNTN O O O
I would have gone to the Mount Logan had I had the money.,O O O O O O B-MNTN I-MNTN O O O O O
This summer we'll go to the Mount Whitney and to the sea.,O O O O O O B-MNTN I-MNTN O O O O
I suggest that you visit some villages in the Denali.,O O O O O O O O O B-MNTN
We are going to the Mount Saint Elias.,O O O O O B-MNTN I-MNTN I-MNTN
